spam/ham,VocabularyRichness,Legomena,Dislegomena,YuleK,Entropy,Sichel,Honore,WordLengthWithoutStopwords,InverseFI_WithoutStopwords,ComplexWordsWithoutStopwords,FISimpleWithoutStopwords,SimpleWordsWithoutStopwords,FKRI_WithoutStopwords,FORCAST_WithoutStopwords,SMOG_WithoutStopWords,FRESWithoutStopwords,FogIndexWithoutStopWords,FogIndex,FRES,SMOG-I,FORCAST,FISimple,InverseFI,SMOG,FKRI,ARI,CLI,SimpleWords,ComplexWords,WordLength,TFISFWithoutStopwords,MaxLongestRepeatingCharacter,MinCharacterDiversity,UniqueHTMLAnchor,RatioNonAlphaNumToAll,RatioDigitToAll,RatioUpperToAll,RatioUpperLower,AvgWordsinSentences,AvgCharinParagraphs,AvgWordsinParagraphs,AvgSentenceinParagraphs,CountofParagraphs,SpamWords,FunctionWords,HTMLAnchor,HTMLNotAnchor,HTMLImage,LongestCapital,CountCapWord,SenBegLower,CountLines,SenBegUpper,AllCountDigitWord,CountSentence,SingleCharWords,HTMLTags,DuplicateWords,CountLowerChars,TFISF,SingleDigitWords,AllCountCapWord,QuestionMark,SingleLetterWords,ExclamationMark,CountUpperChars,Comma,CountWord,SemiColon,Colon,SingleQuote,Period,Space,Tab,Dollar,Ellipsis,WordsMinChar,MultipleExclamationMarks,AlphaOnly,AlphaChars,MultipleQuestionMarks,SpecialChars,WordsMaxChar,CountDigitChars,WordsAVGChar,CountWordLess3Char,CountChars,CountWordLonger6Char,AlphaNumeric
0,0.449010654,203,49,127.7426798,5.052273767,0.166101695,2080.289984,1.696485623,0.049223433,61,39.86824281,214,12.77453035,-1.4,16.52774926,31.54281629,20.31552716,23.68888889,39.336,17.57413194,-11.6,46.08888889,0.042213884,16.85640646,13.726,43.6610443,-15.37725242,316,64,1.44,699,46,1.196146055,0,0.5,1,1,2,45.3,36.31481481,8.388888889,1.074074074,54,2,128,0,1,0,5,62,423,75,62,3,10,158,1,75,2231,874,1,16,0,24,0,122,27,517,0,10,21,42,418,0,0,1,1,0,450,2353,0,785,17,21,3.97108067,220,3307,115,0
0,0.625668449,91,11,116.6747691,4.472212346,0.094017094,2353.998878,1.815217391,0.048770144,26,31.37391304,51,10.80206522,14.9,16.96424004,29.9226087,20.50434783,21.16119403,44.03847015,17.68660237,11.5,38.77313433,0.047256313,16.96424004,10.6616791,47.04488235,-15.35581598,85,26,1.52238806,126,46,1.196146055,0,0.5,0.666666667,1,1,33.75,43.30769231,10.38461538,1.153846154,13,1,57,0,3,0,10,30,117,21,30,0,4,44,3,22,678,163,0,12,2,10,0,63,9,151,0,3,1,16,131,0,0,0,1,0,134,741,0,258,11,5,4.251336898,71,1044,37,1
0,0.611111111,19,10,212.6200274,3.363163439,0.303030303,940.2605253,1.647058824,0.441176471,0,42.26666667,17,6.055294118,18.3,3,61.74215686,2.266666667,2.533333333,75.73298246,3.1219,18.3,38.32280702,0.394736842,3,4.009473684,38.7545098,-15.21162477,17,0,1.473684211,46,4,1.296839555,0,0.4,0,0.6,0.333333333,6.333333333,12.5,2.375,1.25,8,0,1,0,1,0,3,8,11,16,8,0,3,25,1,4,92,48,0,0,0,2,1,8,3,25,4,0,4,1,39,0,4,0,1,0,19,100,0,77,8,0,2.407407407,3,207,8,0
0,0.701298701,40,12,202.3950076,3.785919446,0.222222222,1675.467806,1.15625,0.130718954,1,36.4,24,2.73375,17.6,6.872983346,92.77625,7.65,10.98431373,81.42308824,7.16142163,15.8,43.14117647,0.091038915,6.872983346,6.482352941,22.93714286,-15.465907,42,1,1.176470588,38,3,1.270981615,0,0.5,0,1,2,25.5,47.75,12.75,1,4,0,22,0,1,0,4,14,42,9,14,0,2,25,1,10,174,55,0,7,0,8,0,36,2,60,0,0,4,4,47,0,0,0,1,0,51,210,0,76,11,0,3.051948052,23,302,5,0
0,0.492957746,121,26,215.3540964,4.600712851,0.148571429,1903.001135,1.987012987,0.048411434,40,35.98095238,99,14.29175325,10.1,17.14213562,12.68203463,20.65627706,21.47154472,25.65339431,17.87214746,6.1,40.78861789,0.046573268,17.14213562,13.87914634,53.82304556,-15.27382478,139,40,1.731707317,369,46,1.196146055,0,0.5,0.666666667,1,1,34.16666667,29.25,6.40625,1.03125,32,1,55,0,3,0,4,47,181,49,47,0,6,127,3,35,1184,441,0,16,0,25,0,83,8,241,0,14,12,40,207,0,0,3,1,0,205,1267,0,508,18,8,3.946478873,93,1879,70,1
0,0.710144928,38,6,142.8271372,3.740671949,0.12244898,1886.101988,2.677419355,0.050316507,13,25.03548387,17,17.66104839,18.3,12.87420883,-27.54092742,19.87419355,15.63333333,25.455,13.42069981,17,29.8,0.063965885,12.87420883,10.935,58.779,-15.24289167,30,13,2,50,10,1.225099605,0,0.1875,0,1,1,12,53.5,12,1,4,1,20,0,1,0,4,11,44,11,11,0,4,16,1,9,345,66,0,4,0,4,0,22,4,55,0,2,0,15,46,0,0,0,1,0,48,367,0,100,12,0,5.695652174,22,487,17,0
0,0.747474747,59,8,77.54310785,4.181895257,0.108108108,2266.925793,1.411764706,0.121399667,4,38.04117647,42,5.163823529,15.8,8.477225575,74.45845588,8.237254902,9.285714286,81.50964286,8.834646275,14.1,40.71428571,0.107692308,8.477225575,5.165357143,22.10822034,-15.4395478,59,4,1.271428571,75,2,1.253451072,0,0.4,0,1,1,17.5,32.11111111,7.777777778,1.111111111,9,0,21,0,1,0,3,9,66,15,9,0,4,20,1,9,317,94,0,1,0,3,0,14,4,81,1,0,6,5,62,0,0,0,1,0,70,331,0,94,12,0,3.707070707,34,453,15,0
0,0.544025157,126,23,122.0284008,4.738619181,0.132947977,2120.925296,1.878378378,0.051181725,41,32.78146718,90,11.58915058,11,16.25572653,26.46418919,19.53822394,19.71428571,42.57536585,16.94762277,6.7,37.66550523,0.050724638,16.25572653,10.58487805,47.03353383,-15.33800822,133,41,1.590243902,357,47,1.196146055,0,0.5,1,1,1,30.14285714,36.20833333,8.791666667,1.083333333,24,2,76,0,5,0,11,61,164,37,61,5,7,82,5,33,1035,433,2,19,3,15,0,104,12,241,0,12,3,27,219,0,0,1,1,0,205,1139,0,429,12,25,3.927672956,110,1665,56,1
0,0.405909798,174,41,130.4151177,4.904996062,0.157088123,1939.843417,3.067307692,0.05304198,74,36.92991453,168,24.24423077,3.2,14.10555417,-64.38811966,18.85299145,17.2745098,-28.16769608,14.704993,0.6,36.09803922,0.057888763,14.10555417,19.38588235,79.05718786,-14.9242498,194,74,2.607843137,1002,6,1.127448541,0,0.75,1,1,5,15.94444444,23.39285714,5.107142857,1.142857143,56,5,48,0,1,0,9,75,218,82,75,22,18,209,1,55,2261,1091,9,17,2,11,3,171,20,409,24,41,12,71,491,0,0,0,1,0,255,2432,0,1189,16,134,4.950233281,126,3917,107,23
0,0.394339623,90,74,95.19401922,4.944124927,0.354066986,1101.70697,3.714285714,0.050747267,66,43.0021978,172,33.03,2.8,14.89237451,-120.5885714,19.70549451,17.92929782,-64.43347458,15.52564661,-0.4,41.31912833,0.055774633,14.89237451,25.54285714,87.14380252,-14.72728152,204,66,3.004237288,799,5,1.127696345,0,0.75,1,1,1,18.35714286,12.90322581,2.741935484,1.010752688,93,11,69,0,12,0,4,77,183,111,77,14,14,111,12,80,2372,875,2,17,4,16,0,158,20,431,30,43,11,61,606,0,0,0,1,0,236,2530,0,1327,22,310,6.928301887,111,4387,125,27
0,0.524296675,147,26,130.2974209,4.849546154,0.126829268,2109.629396,1.902439024,0.049500966,38,39.4699187,117,14.46378049,8.3,16.78404875,18.1453252,20.20162602,21.94202899,32.56666667,17.49866285,3.2,44.55072464,0.045574637,16.78404875,14.21,50.85625,-15.27907056,168,38,1.6,433,52,1.196146055,0,0.5,1,1,1,39.83333333,27.225,5.975,1,40,0,84,0,3,0,9,49,205,56,49,9,6,100,3,45,1255,519,1,10,0,12,0,90,36,296,0,12,24,32,255,0,1,1,1,0,230,1345,0,553,13,71,4.189258312,112,2079,77,0
0,0.449204406,261,43,124.6762119,5.257855419,0.117166213,2321.669385,1.823927765,0.047161241,104,37.99843491,290,13.47234763,-9,17.4222051,22.55437773,21.20385252,23.29824332,33.39835897,18.37967461,-21.7,43.59284233,0.042921691,17.62873884,13.67622259,41.36589928,-15.39404323,417,107,1.561374795,1220,47,1.223847087,0,0.5,1,1,2,41.06666667,41.08333333,8.555555556,1.055555556,72,2,187,0,3,0,3,111,532,101,111,5,15,191,3,87,3075,1455,0,29,0,41,0,221,23,663,0,9,27,25,495,0,0,0,1,0,611,3296,0,795,15,38,4.214198286,257,4329,181,0
0,0.588957055,68,20,243.8932591,4.178333448,0.208333333,1746.42864,1.558441558,0.069188606,13,37.31038961,57,8.35711039,14.3,12.87420883,55.45209416,14.45324675,15.7368932,62.42302184,13.80946965,12.3,40.20291262,0.063544944,13.24695077,8.414587379,33.82694805,-15.38950478,77,14,1.398058252,112,3,1.238598968,0,0.5,0,1,1,25.75,36.16666667,8.583333333,1.083333333,12,2,29,0,1,0,4,19,102,21,19,0,4,52,1,23,495,137,0,8,0,11,1,46,4,121,0,1,13,9,97,0,0,0,1,0,103,541,0,165,12,0,3.45398773,51,746,26,0
0,0.65625,26,12,146.484375,3.622671193,0.285714286,1091.706809,1.193548387,0.066752799,2,44.65806452,25,8.243870968,17.5,10.74596669,74.39580645,14.98064516,20.30243902,62.04926829,14.54739255,16.8,47.6195122,0.049255166,13.95445115,11.2802439,36.076875,-15.40482073,32,4,1.219512195,0,3,1.291549665,0,0.125,0,1,1,41,34.75,10.25,1,4,0,13,0,1,0,3,15,32,12,15,0,1,17,1,10,163,0,0,4,0,4,0,26,0,47,0,1,2,2,44,0,0,0,1,0,41,189,0,71,7,0,3.046875,23,282,7,0
0,0.787878788,44,6,123.9669421,3.816722917,0.115384615,2723.275582,2.875,0.048309179,14,33.2,24,20.675,17.6,13.24695077,-44.51,20.7,17.32325581,5.081889535,13.80946965,17.1,31.27674419,0.057725869,13.24695077,13.85610465,72.49706897,-15.08052991,29,14,2.255813953,54,46,1.144935267,0,0.209302326,0.24137931,1,1,10.75,25.125,5.375,1,8,0,12,0,1,0,4,10,43,16,10,0,4,14,1,6,350,63,0,3,2,2,1,18,2,53,0,4,2,14,43,0,0,0,1,0,43,368,0,144,11,14,6.378787879,17,556,22,2
0,0.8,41,5,127.7777778,3.744713471,0.104166667,2807.550557,2.24,0.061728395,7,29,15,13.767,18.5,13.24695077,4.6435,16.2,14.97948718,41.70403846,13.80946965,17.5,33.44102564,0.06675796,13.24695077,9.556794872,57.5424,-15.24171077,25,7,1.717948718,38,48,1.237726285,0,0.166666667,0,1,2,19.5,21.125,4.875,1,8,0,13,0,1,0,5,7,36,16,7,0,2,13,1,4,222,49,0,1,0,1,0,19,1,43,0,1,0,5,33,0,0,0,1,0,39,241,0,115,10,0,4.216666667,18,386,12,0
0,0.805555556,22,7,108.0246914,3.313961702,0.24137931,1484.600703,3.055555556,0.036764706,9,31.64444444,11,24.75555556,18.9,19.43167673,-69.935,27.2,24.85217391,-26.17086957,20.26013882,18.7,31.80869565,0.040237929,19.43167673,18.72347826,106.8053846,-14.96377793,13,9,2.47826087,0,46,1.196146055,0,0.4,0,1,0.25,23,25.4,4.6,1,5,0,3,0,1,0,4,4,22,11,4,0,1,6,1,3,206,0,0,1,0,1,0,9,2,30,0,2,0,9,20,0,0,0,1,0,23,215,0,101,11,0,7.166666667,7,336,14,0
0,0.646341463,79,15,102.6174896,4.434300908,0.141509434,2002.169783,1.902777778,0.070955535,15,36.87111111,56,11.23077778,14.4,12.48683298,31.244,14.09333333,14.04235294,52.59370588,13.0166668,12.2,38.74823529,0.071213137,12.48683298,9.119490196,41.50115385,-15.29265671,78,15,1.578431373,199,47,1.196146055,0,0.5,0,1,1,20.4,21.38095238,4.857142857,1,21,0,26,0,1,0,5,30,84,36,30,0,5,41,1,18,525,248,0,8,1,8,0,60,5,123,0,3,2,20,125,0,0,1,1,0,102,585,0,258,11,0,4.042682927,43,913,30,0
